Starting City,Destination City,Distance (km)
Addanki,Vizianagaram,446.59952542675643
Addanki,Vizianagaram District,463.029023558839
Addanki,Vuyyuru,111.4770833559319
Addanki,West Godavari,183.55393575968054
Addanki,Yanam,260.19433635311964
Addanki,Yanamalakuduru,105.47101831099472
Addanki,Yarada,407.13441522847546
Adoni,Akasahebpet,601.2400637283724
Adoni,Akividu,451.3070022075156
Adoni,Akkarampalle,318.77892265527265
Adoni,Amalapuram,516.3582190150156
Adoni,Amudalavalasa,769.5348380756841
Adoni,Anakapalle,651.9434431605305
Adoni,Anantapur,120.81665935544265
Adoni,Atmakur,143.21158953783006
Adoni,Attili,477.0318021947846
Adoni,Avanigadda,392.18849589304403
Adoni,Badvel,215.51562322840363
Adoni,Banganapalle,107.66645466000908
Adoni,Bapatla,343.0080791512848
Adoni,Betamcherla,95.56234108164357
Adoni,Bhattiprolu,378.6681176742755
Adoni,Bhimavaram,465.09329397543985
Adoni,Bhimunipatnam,704.077277102811
Adoni,Bobbili,724.7581047118651
Adoni,Challapalle,394.8414299626891
Adoni,Chemmumiahpet,221.03392559062934
Adoni,Chilakalurupet,313.57945883042225
Adoni,Chinnachowk,210.96154247871377
Adoni,Chipurupalle,732.740241967588
Adoni,Chirala,330.08270399883446
Adoni,Chittoor,308.10634701546513
Adoni,Chodavaram,650.4889772052682
Adoni,Cuddapah,207.9235230776049
Adoni,Cumbum,196.65663844075286
Adoni,Darsi,257.8699330222719
Adoni,Dharmavaram,143.16545012735475
Adoni,Dhone,68.9551211139698
Adoni,Diguvametta,168.54008758119153
Adoni,East Godavari,543.7996307902421
Adoni,Elamanchili,632.0559793277405
Adoni,Ellore,426.3843995976812
Adoni,Emmiganur,27.47847411150498
Adoni,Erraguntla,174.73643931879732
Adoni,Etikoppaka,617.8328950553148
Adoni,Gajuwaka,673.5126994262876
Adoni,Ganguvada,801.5082146389451
Adoni,Gannavaram,390.2784709095872
Adoni,Giddalur,179.1507043375885
Adoni,Gokavaram,520.4625232905274
Adoni,Gorantla,190.43598815217385
